Simplifier,Pinyin,Catégorie Grammaticale,Traduction,Traditionnel
孤独,gu1du2,qualificatif,seul,孤獨 
场,chang2/chang3,classificateur ," (maladie,guerre,averse...) ",场 
花销,hua1xiao,nom,dépense,花銷 
医疗,yi1liao2,nom,soins médicaux,醫療 
报销,bao4xiao1,verbe,se faire rembourser des dépenses,報銷 
沉重,chen2zhong4,adjectif ," lourd,pesant ",沈重 
养//老,yang3//lao3,verbe,subvenir aux besoins de ses parents ; passer ses vieux jours,養//老 
曾经,ceng2jing1,adverbe,déjà,曾經 
害怕,hai4pa4,verbe,avoir peur,害怕 
婆婆,po2po2,nom,belle-mère (mère du mari),婆婆 
婆媳关系,po2xi2guan1xi,nom,relation belle-mère belle-fille,婆媳關係 
离//婚,li3//hun1,verbe ; nom ," divorcer,divorce ",離//婚 
做//梦,zuo4//meng4,verbe,rêver,做//夢 
理解,li3jie3,verbe ," comprendre,compréhension ",理解 
养儿防老,yang3'er2fang2lao3,expression,élever des enfants pour assurer ses vieux jours,養兒防老 
想法,xiang3fa3,nom ,"  idée,pensée ",想法 
养老院,yang3lao3yuan4,nom,maison de retraite,養老院 
难受,nan2shou4,adjectif ," être peiné,mal à l'aise ",難受 
付出,fu4chu1,verbe,donner,付出 
牺牲,xi1sheng1,nom ; verbe ," sacrifice,sacrifier ",犧牲 
晚年,wan3nian2,nom,vieillisse,晚年 
遇到,yu4dao4,verbe,rencontrer,遇到 
普遍,pu3bian4,qualificatif ," fréquent,commun ",普遍 
聚会,ju4hui4,verbe ; nom ," se réunir,se retrouver,réunion ",聚會 
为难,wei2nan2,adjectif,embarrassé,為難 
漂,piao1,verbe,flotter,漂 
现象,xian4xiang4,nom,phénomène,現象 
然而,ran2'er2,conjonction,cependant,然而 
随着,sui2zhe,préposition,au fur et à mesure,隨著 
取代,qu3dai4,verbe,remplacer,取代 
流动,liu2dong4,verbe ; adjectif,se déplacer ; mobile,流動 
海外,hai3wai4,nom,à l'étranger,海外 
群体,qun2ti3,nom,groupe,群體 
留守,liu2shou3,verbe,rester seul,留守 
空巢老人,kong1chao2lao3ren2,nom,personne agée vivant seule,空巢老人 
单亲,dan1qin1,adjectif,monoparental,單親 
老龄化,lao3ling2hua4,nom,vieillissement,老齡化 
俗,su2,nom ; adjectif ," coutume,usage ; commun,ordinaire,vulgaire ",俗 
俗话,su2hua4,nom ," adage,proverbe ",俗話 
习俗,xi2su2,nom ," coutume,usage ",习俗 
俗气,su2qi4,adjectif,vulgaire,俗氣 
寻找,xun2zhao3,verbe,chercher,尋找 
尋人,xun2ren2,verbe,chercher qqn,尋人 
寻物,xun2wu4,verbe,chercher qqch.,尋物 
坚固,jian1gu4,adjectif ," solide,ferme ",堅固 
固定,gu4ding1,adjectif ; verbe ," fixe,fixer ",固定 
段,duan4,nom de mesure ," moreau,section,bout ",段 
一段话,yi1duan4hua4,nom,un passage,一段話 
一段经历,yi1duan4jing1li4,expression,une expérience vécue,一段經歷 
分段,fen1duan4,verbe ," section,segmenter ",分段 
询,xun2,verbe ," se renseigner,s'informer ",詢 
询问,xun2wen2,verbe ," se renseigner,s'informer ",詢問 
投,tou2,verbe,lancer ; remettre ; envoyer,投 
投简历,tou2jian3li4,verbe,envoyer son CV,投簡歷 
头球,tou2qiu2,verbe,lancer la balle,头球 
投币,tou2bi4,verbe,insérer une pièce,投幣 
投资,tou2zi1,verbe,investir,投資 
败,bai4,verbe ," perdre,échouer ; vaincre ",敗 
失败,shi1bai4,verbe ," échouer,échec ",失敗 
成败,cheng2bai4,nom,succès ou échec,成敗 
打败,da3bai4,verbe,vaincre,打敗 
命令,ming4ling4,nom ; verbe,ordre ; ordonner,命令 
下令,xia4ling4,verbe,donner un ordre,下令 
企,qi3,verbe ; nom ," aspirer à,espérer ; entreprise ",企 
企图,qi3tu2,verbe ; nom ," avoir l'intention de,intention ",企圖 
企业,qi3ye4,nom,entreprise,企業 
外企,wai4qi3,verbe,entreprise étrangère,外企 
国企,guo2qi3,verbe,entreprise nationale,國企 
签,qian1,verbe ; nom ," signer ; fiche de bambou ; étiquette,vignette ; morceau de bois pointu ",簽 
签//字,qian1//zi4,verbe,signer,簽//字 
签//到,qian1//dao4,verbe,signer le registre des présences,簽//到 
签//约,qian1yue1,verbe,signer un contrat,簽//約 
抽//签,chou1//yue1,verbe,tirer au sort,抽//簽 
书签,shu1qian1,nom,marque-page,書簽 
牙签,ya1qian1,nom,cure-dents,牙簽 
庆,qing4,verbe ; nom ," célébrer,fêter ; fête,anniversaire ",慶 
庆祝,qing4zhu4,verbe ," célébrer,fêter ",慶祝 
国庆节,guo2qing4zhu4,nom,fête nationale,國慶節 
醉,zui4,verbe ," ivre,soûl ",醉 
醉酒,zui4jiu3,adjectif,état d'ivresse,醉酒 
醉话,zui4hua4,nom,paroles d'ivrogne,醉話 
努,nu3,verbe,s'efforcer,努 
努力,nu3li4,verbe,s'efforcer de,努力 
概,gai4,nom ; adverbe ," sommaire,résumé ; approximativement,à peu près ",概 
概要,gai4yao4,nom ," abrégé,précis ",概要 
